last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate
Wainwright, Adam,425794,2019,0.265,0.43,0.329,0.338,0.165,88.9,10.2,6.5
Greinke, Zack,425844,2019,0.239,0.39,0.282,0.271,0.151,87.5,11,6.3
Verlander, Justin,434378,2019,0.186,0.346,0.248,0.233,0.16,87.3,18.5,7.2
Sanchez, Anibal,434671,2019,0.251,0.422,0.313,0.317,0.171,87,14.7,6.6
Morton, Charlie,450203,2019,0.216,0.337,0.274,0.285,0.12,86.9,9.2,5
Lester, Jon,452657,2019,0.274,0.456,0.337,0.329,0.182,88.6,12.2,7.4
Scherzer, Max,453286,2019,0.203,0.336,0.254,0.25,0.133,87.6,13.5,6.6
Bailey, Homer,456701,2019,0.262,0.418,0.319,0.324,0.156,90.3,13.8,5.7
Lynn, Lance,458681,2019,0.222,0.372,0.283,0.283,0.149,87.9,13.8,5.9
Nova, Ivan,467100,2019,0.295,0.477,0.352,0.345,0.182,88.8,10.7,7.2
Anderson, Brett,474463,2019,0.283,0.48,0.347,0.336,0.197,89.6,5,7.3
Kershaw, Clayton,477132,2019,0.23,0.393,0.289,0.279,0.163,88.7,11.8,6.6
Miley, Wade,489119,2019,0.245,0.384,0.307,0.318,0.138,87.5,8.3,4.3
Quintana, Jose,500779,2019,0.273,0.434,0.326,0.322,0.161,90,11.1,5.7
Minor, Mike,501985,2019,0.228,0.389,0.298,0.296,0.161,86.9,16.5,7
Samardzija, Jeff,502188,2019,0.253,0.465,0.326,0.309,0.212,89.5,16.9,8.3
Leake, Mike,502190,2019,0.294,0.519,0.355,0.325,0.225,90.7,11.6,8.8
Darvish, Yu,506433,2019,0.223,0.398,0.298,0.294,0.175,88.6,12.6,7.4
Bumgarner, Madison,518516,2019,0.255,0.459,0.321,0.302,0.205,90.4,18.3,9
Kelly, Merrill,518876,2019,0.271,0.493,0.345,0.327,0.222,89.9,12.5,9.5
Porcello, Rick,519144,2019,0.261,0.478,0.331,0.31,0.217,88.4,15.7,9.4
Perez, Martin,527048,2019,0.245,0.385,0.306,0.316,0.14,86.2,9.5,5.3
Teheran, Julio,527054,2019,0.24,0.416,0.327,0.338,0.176,89,15.5,6.9
Cole, Gerrit,543037,2019,0.181,0.315,0.238,0.232,0.135,87.6,14,5.9
DeSclafani, Anthony,543101,2019,0.233,0.401,0.297,0.294,0.168,89.1,12.3,7.1
Gray, Sonny,543243,2019,0.209,0.354,0.286,0.295,0.145,88.1,9.1,6.8
Hendricks, Kyle,543294,2019,0.248,0.393,0.294,0.29,0.146,86.5,14.2,5.4
Roark, Tanner,543699,2019,0.269,0.466,0.342,0.336,0.197,89,15.5,8.4
Strasburg, Stephen,544931,2019,0.211,0.337,0.267,0.274,0.126,87.9,7.8,6.1
Bauer, Trevor,545333,2019,0.223,0.402,0.31,0.31,0.178,88.7,16.4,8.6
Tanaka, Masahiro,547888,2019,0.26,0.43,0.314,0.302,0.17,89,11,6
Ryu, Hyun Jin,547943,2019,0.249,0.37,0.281,0.279,0.121,86.6,7.2,4.7
Wheeler, Zack,554430,2019,0.246,0.393,0.297,0.296,0.148,87,12.3,5.3
Boyd, Matthew,571510,2019,0.222,0.41,0.296,0.281,0.188,89.2,19.5,8.8
Corbin, Patrick,571578,2019,0.228,0.414,0.304,0.296,0.186,89.9,8.4,9.4
Fiers, Mike,571666,2019,0.26,0.463,0.336,0.323,0.203,88.1,15.7,7.2
Mikolas, Miles,571945,2019,0.278,0.451,0.33,0.321,0.173,88.5,10.3,6.1
Stroman, Marcus,573186,2019,0.242,0.37,0.292,0.3,0.128,88.2,5.6,4.1
Ray, Robbie,592662,2019,0.228,0.429,0.322,0.323,0.201,88.9,14.8,10.7
Syndergaard, Noah,592789,2019,0.23,0.365,0.28,0.281,0.135,86.8,9.8,4.9
Rodriguez, Eduardo,593958,2019,0.223,0.376,0.293,0.298,0.154,86.3,9.3,5.9
deGrom, Jacob,594798,2019,0.201,0.319,0.25,0.254,0.118,86.5,13.2,4.8
Gonzales, Marco,594835,2019,0.254,0.407,0.311,0.311,0.153,88.3,14.7,4.9
Junis, Jakob,596001,2019,0.27,0.48,0.346,0.335,0.21,90.1,12.7,8.6
Musgrove, Joe,605397,2019,0.25,0.424,0.308,0.298,0.174,88.9,11.7,6.4
Nola, Aaron,605400,2019,0.235,0.395,0.31,0.318,0.159,89.2,9.2,6.8
Fried, Max,608331,2019,0.247,0.38,0.297,0.304,0.133,89.2,4.3,4.4
Giolito, Lucas,608337,2019,0.215,0.368,0.283,0.284,0.154,88.1,17.7,9.4
Marquez, German,608566,2019,0.27,0.458,0.328,0.311,0.188,91.1,7.2,7.9
Eflin, Zach,621107,2019,0.248,0.415,0.307,0.305,0.168,88.2,12,6.9
Buehler, Walker,621111,2019,0.228,0.369,0.277,0.274,0.141,89.3,12.8,5.4
Berrios, Jose,621244,2019,0.245,0.416,0.304,0.297,0.172,87,13.9,6.5
Castillo, Luis,622491,2019,0.205,0.328,0.278,0.294,0.123,87.2,5.8,5.1
Lopez, Reynaldo,625643,2019,0.259,0.47,0.338,0.326,0.21,88.8,17.7,7.6
Hudson, Dakota,641712,2019,0.263,0.423,0.337,0.356,0.16,89.3,3.3,6.8
Keller, Brad,641745,2019,0.257,0.415,0.329,0.341,0.158,89.1,9.1,5.9
Alcantara, Sandy,645261,2019,0.244,0.424,0.322,0.325,0.18,87.3,11.8,6.5
Soroka, Mike,647336,2019,0.258,0.392,0.306,0.31,0.133,88.2,6.7,5.1
Flaherty, Jack,656427,2019,0.215,0.367,0.279,0.278,0.151,86.6,15.5,6.9
Lucchesi, Joey,664192,2019,0.227,0.391,0.297,0.294,0.163,88.3,11.4,7.2
Bieber, Shane,669456,2019,0.236,0.421,0.296,0.278,0.185,90.6,12.6,8.5
