"hitter","launch_angle","exit_velo","BIP","single","double","triple","home_run","batting_average_for_BIP","home_run_for_BIP","slug_for_BIP"
"Fletcher, David",-7,98.3071892384216,580,137,27,3,2,0.291379310344828,0.00344827586206897,0.358620689655172
"Herrera, Odúbel",-2,106.227916392452,383,71,28,2,15,0.302872062663185,0.0391644908616188,0.503916449086162
"Rosario, Amed",-1,105.016778376026,417,107,25,6,11,0.357314148681055,0.026378896882494,0.525179856115108
"Simmons, Andrelton",0,99.7761570283059,352,76,11,0,2,0.252840909090909,0.00568181818181818,0.301136363636364
"Gurriel, Yuli",1,104.224822330548,485,127,31,0,15,0.356701030927835,0.0309278350515464,0.51340206185567
"Tapia, Raimel",1,102.661975754292,417,97,27,2,6,0.316546762589928,0.0143884892086331,0.434052757793765
"Andrus, Elvis",2,102.719742974092,423,88,26,3,3,0.283687943262411,0.00709219858156028,0.380614657210402
"Newman, Kevin",3,102.119112062349,481,89,27,3,5,0.257796257796258,0.0103950103950104,0.357588357588358
"Kiner-Falefa, Isiah",3,101.948417355256,544,137,23,4,6,0.3125,0.0110294117647059,0.402573529411765
"Peralta, David",3,106.375648566965,401,77,32,8,8,0.311720698254364,0.0199501246882793,0.491271820448878
"Díaz, Yandy",3,107.49441306565,400,88,16,2,15,0.3025,0.0375,0.465
"Hayes, Ke'Bryan",4,106.032146139684,307,75,22,3,8,0.351791530944625,0.0260586319218241,0.521172638436482
"Ramírez, Harold",4,105.809417379402,283,61,21,1,5,0.31095406360424,0.0176678445229682,0.445229681978799
"Guerrero Jr., Vladimir",5,112.845962279187,490,109,31,2,46,0.383673469387755,0.0938775510204082,0.736734693877551
"Kiermaier, Kevin",5,102.367689549264,272,62,24,7,5,0.360294117647059,0.0183823529411765,0.555147058823529
"Crawford, J.P.",6,104.517190335637,506,121,34,0,9,0.324110671936759,0.0177865612648221,0.444664031620553
"Gosselin, Phil",6,102.297475832377,264,67,13,0,9,0.337121212121212,0.0340909090909091,0.488636363636364
"Hosmer, Eric",6,107.295979073968,426,102,28,0,12,0.333333333333333,0.028169014084507,0.483568075117371
"Brinson, Lewis",6,102.370629559897,208,42,15,1,9,0.322115384615385,0.0432692307692308,0.533653846153846
"Segura, Jean",7,106.69605540393,444,113,27,2,14,0.351351351351351,0.0315315315315315,0.515765765765766
"Castro, Willi",7,104.906571970524,322,63,15,7,9,0.291925465838509,0.0279503105590062,0.46583850931677
"Astudillo, Willians",7,99.2530797977142,216,35,11,0,11,0.263888888888889,0.0509259259259259,0.467592592592593
"Cain, Lorenzo",7,100.735766339353,218,47,13,0,8,0.311926605504587,0.036697247706422,0.481651376146789
"Rojas, Miguel",7,102.733643268963,422,91,27,3,11,0.312796208530806,0.0260663507109005,0.469194312796209
"Pham, Tommy",7,106.374236827375,357,74,25,2,16,0.327731092436975,0.0448179271708683,0.543417366946779
"Turner, Trea",7,107.367810511206,506,130,33,3,26,0.379446640316206,0.0513833992094862,0.610671936758893
"Lopez, Nicky",8,99.9463648444802,426,115,22,6,2,0.34037558685446,0.00469483568075117,0.434272300469484
"LeMahieu, DJ",8,105.448025126225,504,120,24,1,11,0.30952380952381,0.0218253968253968,0.426587301587302
"Mullins, Cedric",8,105.0219109266,480,100,36,5,29,0.354166666666667,0.0604166666666667,0.63125
"Anderson, Tim",8,107.324042142841,423,121,33,2,16,0.40661938534279,0.0378250591016548,0.607565011820331
"Verdugo, Alex",8,104.954328744928,472,117,35,2,13,0.353813559322034,0.0275423728813559,0.519067796610169
"Marte, Ketel",8,106.954881564676,303,64,32,1,17,0.376237623762376,0.0561056105610561,0.656765676567657
"García, Leury",8,102.928381609837,344,81,21,4,7,0.328488372093023,0.0203488372093023,0.473837209302326
"Díaz, Aledmys",8,104.066833620752,228,47,18,0,8,0.320175438596491,0.0350877192982456,0.504385964912281
"Kepler, Max",8,106.287858441315,332,45,19,4,17,0.256024096385542,0.0512048192771084,0.490963855421687
"Straw, Myles",9,100.147299811161,447,116,30,1,4,0.337807606263982,0.00894854586129754,0.436241610738255
"Bichette, Bo",9,109.112814479996,503,130,31,1,29,0.379721669980119,0.0576540755467197,0.618290258449304
"Franco, Wander",9,104.714665758078,278,58,21,5,9,0.334532374100719,0.0323741007194245,0.543165467625899
"Marte, Starling",9,105.773806364174,395,106,29,5,12,0.384810126582278,0.030379746835443,0.574683544303797
"Heyward, Jason",9,103.306467910735,256,44,17,3,7,0.27734375,0.02734375,0.44921875
"Abreu, José",9,108.954246386811,457,96,31,1,30,0.345733041575492,0.0656455142231947,0.614879649890591
"Mancini, Trey",9,108.412858727786,410,92,30,1,23,0.35609756097561,0.0560975609756098,0.602439024390244
"Lowe, Nathaniel",9,108.421657260149,398,102,24,3,19,0.371859296482412,0.0477386934673367,0.590452261306533
"Walsh, Jared",9,107.534475934523,383,82,32,1,27,0.370757180156658,0.0704960835509138,0.671018276762402
"Duffy, Matt",9,100.050399451532,225,66,11,1,4,0.364444444444444,0.0177777777777778,0.475555555555556
"Edman, Tommy",9,105.750735343547,542,119,39,2,11,0.31549815498155,0.0202952029520295,0.455719557195572
"Franco, Maikel",9,107.017926770645,306,45,21,0,11,0.251633986928105,0.0359477124183007,0.428104575163399
"Bohm, Alec",10,105.948124630543,264,73,15,0,6,0.356060606060606,0.0227272727272727,0.481060606060606
"Schoop, Jonathan",10,109.905946117364,495,117,30,1,21,0.341414141414141,0.0424242424242424,0.533333333333333
"Hays, Austin",10,105.073238071889,382,75,28,5,22,0.340314136125654,0.0575916230366492,0.612565445026178
"Gonzalez, Marwin",10,101.45899189879,219,41,12,0,6,0.269406392694064,0.0273972602739726,0.406392694063927
"Iglesias, José",10,102.979957412428,411,92,27,2,10,0.318734793187348,0.024330900243309,0.467153284671533
"Nimmo, Brandon",10,104.118304049109,267,72,16,4,9,0.378277153558052,0.0337078651685393,0.569288389513109
"Bell, Josh",10,108.775962492239,404,79,25,1,31,0.336633663366337,0.0767326732673267,0.633663366336634
"Wendle, Joey",10,103.494563952701,356,77,33,5,12,0.356741573033708,0.0337078651685393,0.578651685393258
"Caratini, Victor",10,104.641782007188,237,54,9,1,6,0.29535864978903,0.0253164556962025,0.417721518987342
"Stanton, Giancarlo",10,114.439078142301,366,90,19,0,36,0.396174863387978,0.0983606557377049,0.743169398907104
"Margot, Manuel",11,103.614938603577,347,72,21,3,8,0.29971181556196,0.0230547550432277,0.446685878962536
