"","hitter","launch_angle","exit_velo","BIP","single","double","triple","home_run","woba","woba_bip","whiff_rate","foul_percent","strikeout_percent"
"1","González, Erik",-2,106.720206775228,494,121,37,3,12,0.320421511627907,0.392408906882591,0.299916457811195,0.287385129490393,0.22707423580786
"2","Gurriel, Yuli",-2,105.673965501795,2291,503,168,7,80,0.359827833572453,0.37891750327368,0.139023317201936,0.357017157941047,0.108078994614004
"3","Fletcher, David",2,99.4180502371682,1340,306,80,8,8,0.302373516552155,0.313731343283582,0.104770017035775,0.324531516183986,0.105131414267835
"4","Madrigal, Nick",2,100.744293797646,500,125,26,5,3,0.329799666110184,0.3321,0.0806794055201698,0.388535031847134,0.0901502504173623
"5","Sierra, Magneuris",3,99.8528540351964,341,91,13,1,0,0.2547,0.305718475073314,0.243211334120425,0.354191263282172,0.250501002004008
"6","Smith Jr., Dwight",3,106.906487057734,341,59,24,3,19,0.332432432432432,0.392961876832845,0.263888888888889,0.305555555555556,0.2125
"7","Margot, Manuel",3,106.919908405672,1570,332,102,21,45,0.321110056925996,0.361146496815287,0.214655407245982,0.357668210296922,0.180133079847909
"8","Díaz, Yandy",4,109.675993400728,1029,247,66,5,43,0.36657477601654,0.397181729834791,0.184428012179208,0.367986080904741,0.168508287292818
"9","Shuck, JB",4,101.148908752234,231,58,7,2,2,0.310797342192691,0.326190476190476,0.182033096926714,0.271867612293144,0.146179401993355
"10","Herrera, Odúbel",4,109.184583702309,1062,225,78,5,47,0.333333333333333,0.387853107344633,0.238163047347811,0.38376646493414,0.194541637508747
"11","Díaz, Elias",4,107.495107036333,927,207,64,2,34,0.33429718875502,0.375728155339806,0.230200174064404,0.366405570060923,0.177510040160643
"12","Simmons, Andrelton",4,104.424726622989,1424,323,83,7,24,0.320192869666862,0.328686797752809,0.137917933130699,0.321048632218845,0.100175746924429
"13","Jankowski, Travis",5,100.701202991883,612,159,30,6,7,0.323333333333333,0.353186274509804,0.177492447129909,0.360271903323263,0.192743764172336
"14","Pirela, José",5,107.363246852341,501,108,35,10,18,0.330331412103746,0.390518962075848,0.232219365895458,0.338474721508141,0.207792207792208
"15","Rojas, Miguel",5,103.960697312945,1727,383,102,6,24,0.308348968105066,0.321887666473654,0.156398104265403,0.362141064956788,0.12200844673862
"16","Desmond, Ian",5,108.54222479469,834,175,51,12,39,0.326926229508197,0.400179856115108,0.256750355281857,0.348176219801042,0.237664473684211
"17","Cain, Lorenzo",5,108.075902333755,1341,321,84,7,36,0.340680713128039,0.37524235645041,0.187173979748389,0.401350107394906,0.175961017866811
"18","Villar, Jonathan",5,107.701744288056,1170,291,70,10,39,0.319944903581267,0.398205128205128,0.273389682308365,0.38560186534538,0.264202978488693
"19","Travis, Sam",5,104.327408947695,207,45,15,1,12,0.352796052631579,0.440338164251208,0.32,0.266,0.240924092409241
"20","Herrera, Rosell",5,102.65153143599,308,63,21,4,3,0.286971830985915,0.324188311688312,0.261939218523878,0.29232995658466,0.2018779342723
"21","Rosario, Amed",5,106.850470456481,1811,453,103,31,45,0.327211024269848,0.388210933186085,0.238782763216348,0.358951577076855,0.200082338410869
